m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,AB_pred
0.1,15,0.04,-3.615628992,-1.6707602780000002,2.420368129,1.609437912,7.824046011,0.0,1.03936937,6.214608097999999,2.7678945
0.1,15,0.04,-3.615628992,-1.6707602780000002,2.420368129,1.609437912,7.824046011,0.0,1.03936937,6.214608097999999,2.789208
0.5,10,0.04,-3.302257434,-1.6185997540000001,3.218875825,1.609437912,7.824046011,-2.3025850930000002,1.03936937,6.214608097999999,2.7731504
0.5,10,0.04,-4.688551795,-2.8481401969999998,3.218875825,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,4.780981
0.2,15,0.04,-4.876978909,-2.7118775160000004,3.113515309,3.218875825,7.824046011,-2.3025850930000002,1.5501949940000002,4.6051701860000005,4.7566385
0.5,5,0.04,-3.711534145,-2.63839355,1.832581464,1.609437912,7.824046011,-2.3025850930000002,1.03936937,6.214608097999999,2.7565665
0.5,15,0.08,-4.361440001,-2.187757532,4.0298060410000005,1.609437912,7.824046011,-1.609437912,1.732516551,6.214608097999999,5.6468086
0.5,10,0.08,-3.061872076,-1.4979323169999998,3.218875825,0.0,5.298317367,-1.609437912,-0.570068542,5.298317367,0.5958772
0.5,15,0.08,-2.815078774,-1.017172404,4.0298060410000005,0.0,5.298317367,-1.609437912,-0.570068542,5.298317367,0.5738969
0.5,15,0.08,-2.815078774,-1.017172404,4.0298060410000005,0.0,5.298317367,-1.609437912,-0.570068542,5.298317367,0.57338464
0.2,5,0.04,-3.315937538,-2.3230327280000003,0.916290732,0.0,5.298317367,-1.609437912,-1.263215723,5.298317367,0.28526288
0.1,15,0.08,-3.897134393,-2.1137514530000003,2.420368129,0.0,5.298317367,-1.609437912,-0.570068542,5.298317367,0.5833007
0.2,5,0.04,-2.187650555,-1.271809202,0.916290732,0.0,5.298317367,0.0,-1.263215723,5.298317367,0.2804412
0.1,5,0.04,-3.9633163000000002,-2.840507885,0.22314355100000002,0.0,5.298317367,-1.609437912,-1.263215723,5.298317367,0.28481525
0.1,10,0.04,-3.0804190819999997,-1.583789659,1.609437912,0.0,5.298317367,-2.3025850930000002,-1.263215723,5.298317367,0.2844182
0.2,10,0.08,-3.3790445769999997,-1.923272329,2.3025850930000002,0.0,5.298317367,-2.3025850930000002,-0.570068542,5.298317367,0.5673328
0.1,10,0.04,-3.0804190819999997,-1.583789659,1.609437912,0.0,5.298317367,-2.3025850930000002,-1.263215723,5.298317367,0.2822262
0.1,15,0.08,-3.5439136839999996,-1.8920130480000001,2.420368129,0.0,5.298317367,-2.3025850930000002,-0.570068542,5.298317367,0.5577418
