m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,cu_pred,CU
0.2,10,0.04,-2.502989157,-0.996330106,2.302585093,0,4.605170186,-1.609437912,-1.668680831,4.605170186,0.98182225,1
0.1,5,0.04,-2.706351644,-1.815773512,0.223143551,0,4.605170186,0,-1.668680831,4.605170186,0.9527082,1
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0,4.605170186,-1.609437912,-0.97553365,4.605170186,1.006721,1
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186,1.0057924,1
0.1,10,0.04,-2.873160721,-1.443211863,1.609437912,0,4.605170186,-2.302585093,-1.668680831,4.605170186,1.0339521,1
0.2,10,0.08,-3.243680944,-1.820554084,2.302585093,0,4.605170186,-2.302585093,-0.97553365,4.605170186,0.99633354,1
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0,4.605170186,-1.609437912,-0.97553365,4.605170186,1.006721,1
0.5,5,0.04,-1.761075087,-0.817377958,1.832581464,0,4.605170186,-2.302585093,-1.668680831,4.605170186,1.0568874,1
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186,1.0057924,1
0.2,10,0.04,-2.23792158,-0.779934583,2.302585093,0,4.605170186,-2.302585093,-1.668680831,4.605170186,0.9998605,1
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0,4.605170186,-1.609437912,-0.97553365,4.605170186,1.006721,1
0.2,5,0.04,-2.316481198,-1.383913198,0.916290732,0,6.214608098,0,-0.570068542,6.214608098,0.94437665,1
0.5,5,0.04,-2.786444269,-1.780914489,1.832581464,1.609437912,6.214608098,0,-0.059242918,4.605170186,4.023006,4.999999998
0.2,20,0.08,-4.520829038,-2.197288579,3.688879454,1.609437912,6.214608098,-1.609437912,0.633904262,4.605170186,4.9828224,4.999999998
0.5,10,0.08,-2.897879873,-1.355695323,3.218875825,0,6.214608098,-2.302585093,0.123078638,6.214608098,1.006721,1
0.5,5,0.04,-3.48675527,-2.442215044,1.832581464,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,5.564662,4.999999998
0.2,10,0.04,-3.756730121,-2.093102428,2.302585093,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,7.1334696,4.999999998
0.2,15,0.04,-3.684090937,-1.674424534,3.113515309,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186,5.6834135,4.999999998
0.1,5,0.04,-4.054739308,-2.917882738,0.223143551,0,6.214608098,-1.609437912,-0.570068542,6.214608098,1.0247513,1
