m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu
0.2,15,0.04,-3.606746625,-1.58701128,3.113515309,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.5,5,0.04,-2.894259305,-1.879856526,1.832581464,1.609437912,6.907755279,0,0.34622219,5.298317367
0.1,10,0.04,-4.495419322,-2.745316026,1.609437912,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.2,10,0.04,-3.207441447,-1.570140279,2.302585093,1.609437912,6.907755279,0,0.34622219,5.298317367
0.2,10,0.04,-3.917035547,-2.237659147,2.302585093,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.5,5,0.04,-3.610438028,-2.558148536,1.832581464,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.5,10,0.04,-2.353457423,-0.728923592,3.218875825,1.609437912,6.907755279,0,0.34622219,5.298317367
0.5,5,0.04,-3.942482213,-2.813744106,1.832581464,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
0.5,15,0.04,-3.434547361,-1.37267552,4.029806041,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367
0.1,20,0.04,-3.91904762,-1.688307975,2.995732274,2.302585093,7.60090246,0,1.03936937,5.298317367
0.5,20,0.04,-3.172469452,-0.861206134,4.605170186,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367
0.5,15,0.04,-2.697703909,-0.673697557,4.029806041,2.302585093,7.60090246,0,1.03936937,5.298317367
0.2,20,0.08,-4.297685486,-2.05635021,3.688879454,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367
0.5,10,0.04,-3.302257434,-1.618599754,3.218875825,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098
0.2,10,0.04,-3.79423997,-2.115972755,2.302585093,2.302585093,7.60090246,0,1.03936937,5.298317367
0.5,10,0.04,-3.031152219,-1.355881555,3.218875825,2.302585093,7.60090246,0,1.03936937,5.298317367
0.1,15,0.04,-4.08162579,-2.048004892,2.420368129,2.302585093,7.60090246,0,1.03936937,5.298317367
0.1,15,0.04,-4.336670933,-2.277151292,2.420368129,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098
0.5,15,0.08,-3.858482239,-1.816511284,4.029806041,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367
0.5,10,0.04,-4.530062714,-2.726132709,3.218875825,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367
0.5,10,0.04,-4.815891217,-2.943367553,3.218875825,3.218875825,8.517193191,-1.609437912,1.955660102,5.298317367
0.5,10,0.04,-4.815891217,-2.943367553,3.218875825,3.218875825,8.517193191,-1.609437912,1.955660102,5.298317367
0.2,15,0.04,-5.014643315,-2.803130407,3.113515309,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367
0.5,20,0.04,-3.310443018,-0.973358562,4.605170186,3.218875825,8.517193191,0,1.955660102,5.298317367
0.2,15,0.04,-4.294748627,-2.194125385,3.113515309,3.218875825,8.517193191,0,1.955660102,5.298317367
0.2,15,0.04,-5.259096653,-2.99990095,3.113515309,3.218875825,8.517193191,-1.609437912,1.955660102,5.298317367
0.2,15,0.04,-4.294748627,-2.194125385,3.113515309,3.218875825,8.517193191,0,1.955660102,5.298317367
0.5,20,0.04,-4.37088889,-1.987453237,4.605170186,3.218875825,8.517193191,-1.609437912,1.955660102,5.298317367
0.5,15,0.04,-4.260163047,-2.146573289,4.029806041,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367
0.5,10,0.04,-3.824928299,-2.114182066,3.218875825,3.218875825,8.517193191,0,1.955660102,5.298317367
0.2,10,0.04,-2.997333555,-1.399403917,2.302585093,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.2,10,0.08,-3.379044577,-1.923272329,2.302585093,0,5.298317367,-2.302585093,-0.570068542,5.298317367
0.2,10,0.04,-2.646202798,-1.098424306,2.302585093,0,6.214608098,-2.302585093,-0.570068542,6.214608098
0.1,10,0.04,-3.249335032,-1.704584106,1.609437912,0,6.214608098,-2.302585093,-0.570068542,6.214608098
0.1,5,0.04,-4.054739308,-2.917882738,0.223143551,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.5,5,0.04,-1.329384867,-0.332690596,1.832581464,0,6.214608098,0,-0.570068542,6.214608098
0.2,10,0.04,-2.997333555,-1.399403917,2.302585093,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.2,5,0.04,-3.509228126,-2.47879735,0.916290732,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.1,15,0.08,-3.543913684,-1.892013048,2.420368129,0,5.298317367,-2.302585093,-0.570068542,5.298317367
0.2,10,0.08,-3.379044577,-1.923272329,2.302585093,0,5.298317367,-2.302585093,-0.570068542,5.298317367
0.1,5,0.04,-4.054739308,-2.917882738,0.223143551,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.5,20,0.08,-4.625372893,-2.162475385,4.605170186,2.302585093,7.60090246,-1.609437912,1.732516551,5.298317367
0.2,15,0.04,-4.372472422,-2.274347552,3.113515309,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.2,20,0.08,-4.706096105,-2.339913198,3.688879454,1.609437912,7.824046011,-1.609437912,1.732516551,6.214608098
0.2,20,0.04,-4.172089911,-1.826201857,3.688879454,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.2,15,0.04,-3.626092466,-1.586913502,3.113515309,2.302585093,8.517193191,0,1.732516551,6.214608098
0.2,20,0.08,-4.706096105,-2.339913198,3.688879454,1.609437912,7.824046011,-1.609437912,1.732516551,6.214608098
0.5,20,0.08,-4.156645588,-1.827942242,4.605170186,1.609437912,7.824046011,-1.609437912,1.732516551,6.214608098
0.2,15,0.04,-4.372472422,-2.274347552,3.113515309,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.2,15,0.04,-3.626092466,-1.586913502,3.113515309,2.302585093,8.517193191,0,1.732516551,6.214608098
0.2,20,0.08,-3.624590964,-1.576390058,3.688879454,1.609437912,7.824046011,0,1.732516551,6.214608098
0.5,20,0.08,-3.796910198,-1.527968531,4.605170186,1.609437912,7.824046011,-2.302585093,1.732516551,6.214608098
0.5,20,0.08,-4.385231766,-2.00556674,4.605170186,2.302585093,8.517193191,-2.302585093,2.425663731,6.214608098
0.5,20,0.08,-4.385231766,-2.00556674,4.605170186,2.302585093,8.517193191,-2.302585093,2.425663731,6.214608098
0.5,20,0.08,-3.63212112,-1.396684149,4.605170186,2.302585093,8.517193191,0,2.425663731,6.214608098
0.5,20,0.08,-4.71721969,-2.240925713,4.605170186,2.302585093,8.517193191,-1.609437912,2.425663731,6.214608098
0.5,20,0.08,-3.63212112,-1.396684149,4.605170186,2.302585093,8.517193191,0,2.425663731,6.214608098
0.5,20,0.08,-3.63212112,-1.396684149,4.605170186,2.302585093,8.517193191,0,2.425663731,6.214608098
0.5,20,0.08,-4.71721969,-2.240925713,4.605170186,2.302585093,8.517193191,-1.609437912,2.425663731,6.214608098
0.5,20,0.08,-4.385231766,-2.00556674,4.605170186,2.302585093,8.517193191,-2.302585093,2.425663731,6.214608098
0.5,20,0.08,-4.71721969,-2.240925713,4.605170186,2.302585093,8.517193191,-1.609437912,2.425663731,6.214608098
0.5,20,0.08,-4.71721969,-2.240925713,4.605170186,2.302585093,8.517193191,-1.609437912,2.425663731,6.214608098
0.5,20,0.08,-3.63212112,-1.396684149,4.605170186,2.302585093,8.517193191,0,2.425663731,6.214608098
0.5,20,0.04,-4.554477072,-2.149006005,4.605170186,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.5,15,0.04,-4.723953722,-2.566602724,4.029806041,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.5,10,0.04,-4.658570963,-2.810548151,3.218875825,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.5,20,0.04,-4.554477072,-2.149006005,4.605170186,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.5,15,0.04,-4.723953722,-2.566602724,4.029806041,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.5,10,0.04,-4.658570963,-2.810548151,3.218875825,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.5,15,0.04,-4.723953722,-2.566602724,4.029806041,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.5,15,0.04,-4.401413348,-2.265751843,4.029806041,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.2,20,0.04,-4.958992061,-2.524679195,3.688879454,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.5,15,0.04,-3.649658741,-1.559829036,4.029806041,3.218875825,9.433483923,0,2.648807283,6.214608098
0.5,20,0.04,-4.20908224,-1.823076777,4.605170186,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.2,10,0.08,-3.243680944,-1.820554084,2.302585093,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0,4.605170186,-1.609437912,-0.97553365,4.605170186
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.2,10,0.08,-3.243680944,-1.820554084,2.302585093,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.2,10,0.08,-3.243680944,-1.820554084,2.302585093,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.2,10,0.08,-3.604538306,-2.084639025,2.302585093,0,4.605170186,-1.609437912,-0.97553365,4.605170186
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0,4.605170186,-2.302585093,-0.97553365,4.605170186
0.2,10,0.08,-3.507224786,-2.006637276,2.302585093,0,6.214608098,-2.302585093,0.123078638,6.214608098
0.5,10,0.08,-3.239078532,-1.642911969,3.218875825,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.1,20,0.08,-3.833211825,-1.902413973,2.995732274,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.5,10,0.08,-2.897879873,-1.355695323,3.218875825,0,6.214608098,-2.302585093,0.123078638,6.214608098
0.2,15,0.08,-3.611918413,-1.782696661,3.113515309,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.2,15,0.08,-3.611918413,-1.782696661,3.113515309,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.1,15,0.08,-3.669861448,-2.002954687,2.420368129,0,6.214608098,-2.302585093,0.123078638,6.214608098
0.2,15,0.08,-3.611918413,-1.782696661,3.113515309,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.2,15,0.08,-3.611918413,-1.782696661,3.113515309,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.5,10,0.08,-3.239078532,-1.642911969,3.218875825,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.5,10,0.08,-3.239078532,-1.642911969,3.218875825,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.2,5,0.04,-2.033168829,-1.14245133,0.916290732,0,4.605170186,0,-1.668680831,4.605170186
0.5,10,0.04,-2.200570168,-0.592889261,3.218875825,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.5,15,0.08,-3.08521944,-1.189570353,4.029806041,1.609437912,6.214608098,0,0.633904262,4.605170186
0.1,15,0.04,-3.96121325,-1.958655021,2.420368129,2.302585093,6.907755279,0,0.633904262,4.605170186
0.5,10,0.04,-2.898242652,-1.236564869,3.218875825,2.302585093,6.907755279,0,0.633904262,4.605170186
0.5,15,0.04,-2.554900022,-0.540096534,4.029806041,2.302585093,6.907755279,0,0.633904262,4.605170186
0.1,10,0.04,-3.766192557,-2.127993334,1.609437912,1.609437912,6.907755279,0,0.34622219,5.298317367
0.1,5,0.04,-2.909921617,-1.992310172,0.223143551,0,6.214608098,0,-0.570068542,6.214608098
0.2,10,0.04,-3.304978524,-1.657725203,2.302585093,1.609437912,7.824046011,0,1.03936937,6.214608098
0.5,5,0.04,-2.967339199,-1.958995389,1.832581464,1.609437912,7.824046011,0,1.03936937,6.214608098
0.5,15,0.04,-3.228926161,-1.189399512,4.029806041,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.5,10,0.04,-4.399783356,-2.625714739,3.218875825,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186
0.5,15,0.04,-4.109255175,-2.010214031,4.029806041,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186
0.2,20,0.04,-3.392039444,-1.150773328,3.688879454,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.5,10,0.04,-3.117222171,-1.456682491,3.218875825,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.2,20,0.04,-4.008533906,-1.685304353,3.688879454,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367
0.5,10,0.04,-3.781872321,-2.072871174,3.218875825,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367
0.2,5,0.04,-3.127208636,-2.132842318,0.916290732,0,6.214608098,-2.302585093,-0.570068542,6.214608098
0.2,10,0.04,-4.072191758,-2.361910559,2.302585093,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098
0.2,15,0.04,-3.776618368,-1.729122755,3.113515309,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098
0.2,20,0.08,-4.398156017,-2.139582281,3.688879454,1.609437912,7.824046011,-2.302585093,1.732516551,6.214608098
0.1,15,0.04,-4.917144951,-2.76341493,2.420368129,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.2,10,0.04,-4.64183417,-2.820301067,2.302585093,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.5,10,0.04,-3.895165888,-2.18490873,3.218875825,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.5,15,0.04,-3.616372763,-1.532458353,4.029806041,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.5,20,0.04,-3.381394754,-1.043703737,4.605170186,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.1,10,0.04,-4.686380241,-2.878127031,1.609437912,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186
0.1,20,0.04,-4.067507908,-1.838172062,2.995732274,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186
0.2,20,0.04,-3.433307436,-1.203932805,3.688879454,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186
0.5,10,0.04,-3.228421238,-1.56515312,3.218875825,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186
0.5,20,0.04,-3.225397042,-0.909881316,4.605170186,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186
0.5,5,0.04,-2.442537053,-1.470841867,1.832581464,0,5.298317367,-1.609437912,-1.263215723,5.298317367
0.2,10,0.08,-3.766192557,-2.159975036,2.302585093,0,5.298317367,-1.609437912,-0.570068542,5.298317367
0.2,15,0.08,-3.445776425,-1.671866661,3.113515309,0,5.298317367,-1.609437912,-0.570068542,5.298317367
0.1,10,0.04,-4.781907364,-2.956973205,1.609437912,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
0.2,10,0.04,-4.250296864,-2.533005053,2.302585093,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
0.2,15,0.04,-3.930186976,-1.886298746,3.113515309,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
0.2,20,0.04,-3.694495193,-1.414134321,3.688879454,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
0.2,20,0.08,-4.611188258,-2.262288036,3.688879454,1.609437912,6.907755279,-1.609437912,1.03936937,5.298317367
0.5,15,0.08,-4.218548166,-2.091093159,4.029806041,1.609437912,6.907755279,-1.609437912,1.03936937,5.298317367
0.5,20,0.08,-3.972835145,-1.679216807,4.605170186,1.609437912,6.907755279,-1.609437912,1.03936937,5.298317367
0.5,10,0.04,-4.09234656,-2.363057226,3.218875825,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367
0.5,15,0.04,-3.776618368,-1.698990698,4.029806041,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367
0.2,20,0.04,-5.092930537,-2.673301009,3.688879454,3.218875825,8.517193191,-1.609437912,1.955660102,5.298317367
0.5,15,0.04,-4.587330268,-2.439688572,4.029806041,3.218875825,8.517193191,-1.609437912,1.955660102,5.298317367
0.1,10,0.04,-3.580563311,-1.983404353,1.609437912,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.2,10,0.08,-3.884407838,-2.249158077,2.302585093,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.1,15,0.04,-4.695094894,-2.593793375,2.420368129,1.609437912,7.824046011,-1.609437912,1.03936937,6.214608098
0.2,15,0.04,-4.135166557,-2.057194845,3.113515309,1.609437912,7.824046011,-1.609437912,1.03936937,6.214608098
0.2,20,0.04,-3.918041078,-1.605386132,3.688879454,1.609437912,7.824046011,-1.609437912,1.03936937,6.214608098
0.5,5,0.04,-4.08399827,-2.905233651,1.832581464,1.609437912,7.824046011,-1.609437912,1.03936937,6.214608098
0.5,10,0.04,-4.240527072,-2.493648751,3.218875825,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098
0.5,15,0.04,-3.969652118,-1.877317358,4.029806041,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098
0.5,20,0.04,-3.742280231,-1.390157815,4.605170186,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098
0.2,15,0.04,-5.339139361,-3.070886947,3.113515309,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.5,10,0.04,-4.898199865,-3.016261565,3.218875825,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
