m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu
0.1,10,0.04,-3.080419082,-1.583789659,1.609437912,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.1,15,0.08,-3.543913684,-1.892013048,2.420368129,0,5.298317367,-2.302585093,-0.570068542,5.298317367
0.5,20,0.08,-4.260163047,-1.906874068,4.605170186,2.302585093,7.60090246,-2.302585093,1.732516551,5.298317367
0.5,20,0.04,-3.172469452,-0.861206134,4.605170186,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367
0.2,10,0.04,-4.806063128,-2.955204722,2.302585093,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367
0.1,20,0.04,-3.91904762,-1.688307975,2.995732274,2.302585093,7.60090246,0,1.03936937,5.298317367
0.5,15,0.04,-2.697703909,-0.673697557,4.029806041,2.302585093,7.60090246,0,1.03936937,5.298317367
0.2,20,0.04,-3.339349978,-1.096183241,3.688879454,2.302585093,7.60090246,0,1.03936937,5.298317367
0.5,20,0.08,-4.260163047,-1.906874068,4.605170186,2.302585093,7.60090246,-2.302585093,1.732516551,5.298317367
0.2,15,0.04,-3.524043212,-1.497216983,3.113515309,2.302585093,7.60090246,0,1.03936937,5.298317367
0.2,10,0.04,-4.806063128,-2.955204722,2.302585093,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367
0.2,20,0.04,-4.330573353,-1.988241616,3.688879454,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367
0.2,20,0.04,-4.330573353,-1.988241616,3.688879454,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367
0.2,20,0.04,-4.172089911,-1.826201857,3.688879454,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.5,15,0.04,-2.823124409,-0.787396323,4.029806041,2.302585093,8.517193191,0,1.732516551,6.214608098
0.1,15,0.04,-5.210306489,-2.978993158,2.420368129,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098
0.5,20,0.08,-4.385231766,-2.00556674,4.605170186,2.302585093,8.517193191,-2.302585093,2.425663731,6.214608098
0.2,15,0.04,-3.626092466,-1.586913502,3.113515309,2.302585093,8.517193191,0,1.732516551,6.214608098
0.5,20,0.08,-3.63212112,-1.396684149,4.605170186,2.302585093,8.517193191,0,2.425663731,6.214608098
0.5,15,0.04,-3.545991967,-1.462294584,4.029806041,3.218875825,8.517193191,0,1.955660102,5.298317367
0.1,20,0.04,-4.71721969,-2.370221742,2.995732274,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098
0.5,15,0.04,-3.545991967,-1.462294584,4.029806041,3.218875825,8.517193191,0,1.955660102,5.298317367
0.5,10,0.04,-3.111367617,-1.453511667,3.218875825,2.302585093,8.517193191,0,1.732516551,6.214608098
0.5,20,0.04,-3.310443018,-0.973358562,4.605170186,3.218875825,8.517193191,0,1.955660102,5.298317367
