Archive No,D (m),l,m (kg),v (m/s),E (kPa),cu (kPa),E/cu,G/cu,Total penetration/ D,Time of travel (s) ,Initial Kinetic Energy = mv2/2 (kgm2/s2),(cupD3/4) (kgm2/s2),(mv2/2)/ (cupD3/4)
191,0.08,0.1,0.1,15,500,1,500,166.6666667,1.6867,0.02548,11.25,0.40212386,27.97645484
193,0.08,0.1,0.2,10,500,1,500,166.6666667,1.6805,0.02998,10,0.40212386,24.86795986
196,0.08,0.1,0.5,10,500,1,500,166.6666667,3.2221,0.05514,25,0.40212386,62.16989965
198,0.04,0.1,0.1,10,2500,5,500,166.6666667,1.4788,0.01004,5,0.251327412,19.89436789
199,0.04,0.1,0.1,15,2500,5,500,166.6666667,2.5644,0.01308,11.25,0.251327412,44.76232774
201,0.04,0.1,0.2,10,2500,5,500,166.6666667,2.356,0.01704,10,0.251327412,39.78873577
202,0.04,0.1,0.2,15,2500,5,500,166.6666667,4.436,0.0229,22.5,0.251327412,89.52465549
203,0.04,0.1,0.2,20,2500,5,500,166.6666667,6.7938,0.02778,40,0.251327412,159.1549431
204,0.04,0.1,0.5,5,2500,5,500,166.6666667,1.7869,0.02444,6.25,0.251327412,24.86795986
205,0.04,0.1,0.5,10,2500,5,500,166.6666667,4.9544,0.0368,25,0.251327412,99.47183943
206,0.08,0.1,0.2,20,2500,5,500,166.6666667,1.4713,0.0123,40,2.010619298,19.89436789
207,0.08,0.1,0.5,15,2500,5,500,166.6666667,1.8234,0.01844,56.25,2.010619298,27.97645484
208,0.08,0.1,0.5,20,2500,5,500,166.6666667,2.7122,0.02244,100,2.010619298,49.73591972
209,0.04,0.1,0.1,15,5000,10,500,166.6666667,1.5769,0.00732,11.25,0.502654825,22.38116387
210,0.04,0.1,0.1,20,5000,10,500,166.6666667,2.3365,0.00894,20,0.502654825,39.78873577
211,0.04,0.1,0.2,10,5000,10,500,166.6666667,1.4897,0.00964,10,0.502654825,19.89436789
212,0.04,0.1,0.2,15,5000,10,500,166.6666667,2.5716,0.01262,22.5,0.502654825,44.76232774
213,0.04,0.1,0.2,20,5000,10,500,166.6666667,4.0256,0.01542,40,0.502654825,79.57747155
214,0.04,0.1,0.5,10,5000,10,500,166.6666667,2.8122,0.02034,25,0.502654825,49.73591972
215,0.04,0.1,0.5,15,5000,10,500,166.6666667,5.4001,0.02688,56.25,0.502654825,111.9058194
216,0.04,0.1,0.5,20,5000,10,500,166.6666667,8.8037,0.034,100,0.502654825,198.9436789
217,0.08,0.1,0.5,20,5000,10,500,166.6666667,1.6823,0.01246,100,4.021238597,24.86795986
218,0.04,0.1,0.2,15,12500,25,500,166.6666667,1.3959,0.00582,22.5,1.256637061,17.9049311
219,0.04,0.1,0.2,20,12500,25,500,166.6666667,2.0021,0.00702,40,1.256637061,31.83098862
220,0.04,0.1,0.5,10,12500,25,500,166.6666667,1.5043,0.00948,25,1.256637061,19.89436789
221,0.04,0.1,0.5,15,12500,25,500,166.6666667,2.5938,0.01226,56.25,1.256637061,44.76232774
222,0.04,0.1,0.5,20,12500,25,500,166.6666667,4.0382,0.01486,100,1.256637061,79.57747155
223,0.04,0.2,0.1,5,100,1,100,33.33333333,1.6307,0.0234,1.25,0.050265482,24.86795986
224,0.04,0.2,0.1,10,100,1,100,33.33333333,4.7695,0.04346,5,0.050265482,99.47183943
226,0.04,0.2,0.2,10,100,1,100,33.33333333,9.2308,0.08184,10,0.050265482,198.9436789
230,0.08,0.2,0.2,10,100,1,100,33.33333333,1.5544,0.0272,10,0.40212386,24.86795986
233,0.08,0.2,0.5,10,100,1,100,33.33333333,3.1979,0.05704,25,0.40212386,62.16989965
235,0.04,0.2,0.1,10,500,5,100,33.33333333,1.406,0.00922,5,0.251327412,19.89436789
237,0.04,0.2,0.1,20,500,5,100,33.33333333,3.9777,0.01712,20,0.251327412,79.57747155
238,0.04,0.2,0.2,10,500,5,100,33.33333333,2.3147,0.01734,10,0.251327412,39.78873577
239,0.04,0.2,0.2,15,500,5,100,33.33333333,4.6854,0.02512,22.5,0.251327412,89.52465549
240,0.04,0.2,0.2,20,500,5,100,33.33333333,7.5003,0.03228,40,0.251327412,159.1549431
241,0.04,0.2,0.5,5,500,5,100,33.33333333,1.6927,0.023,6.25,0.251327412,24.86795986
242,0.04,0.2,0.5,10,500,5,100,33.33333333,5.2264,0.03962,25,0.251327412,99.47183943
243,0.08,0.2,0.2,20,500,5,100,33.33333333,1.3888,0.01088,40,2.010619298,19.89436789
245,0.08,0.2,0.5,20,500,5,100,33.33333333,2.6496,0.02282,100,2.010619298,49.73591972
